question,answer_a,answer_b,winner_after_swap,gpt-4o-mini_winner,gpt-3.5-turbo_winner
What are the key components and tasks involved in Lab 24 for data science trainees?,Không tìm thấy thông tin.,"Lab 24 is structured into several parts, including general information, preparation requirements, and specific tasks. Key components include Phase A: RAGAS Evaluation, which consists of tasks such as Synthetic Test Set Generation, running RAGAS 4 Metrics, Failure Cluster Analysis, and creating a CI/CD Integration Plan. Each task has a designated time and point value, contributing to the overall evaluation.",B,B,B
What does Task A.3 involve in Lab 24?,Không tìm thấy thông tin.,"Task A.3 involves Failure Cluster Analysis, which is allocated 15 minutes and is worth 8 points.",B,B,B
What is the focus of Task A.4 in Lab 24?,Không tìm thấy thông tin.,"Task A.4 in Lab 24 focuses on the CI/CD Integration Plan, which is allocated 10 minutes and worth 4 points.",B,B,B
What you learn in Lab 24 at VinUniversity and what you need to prepare before start?,Không tìm thấy thông tin.,"In Lab 24 at VinUniversity, you will learn about the evaluation and guardrail system, specifically focusing on RAGAS evaluation. Before starting, you need to prepare by reviewing the general information and tips provided in the lab structure.",B,B,B
What is the significance of VinUniversity in the context of RAG pipelines?,Không tìm thấy thông tin.,"VinUniversity is mentioned in the context of a lab focused on evaluation and guardrails for AI systems, specifically in relation to RAG pipelines.",B,B,B
What is the role of Cost Analisis in the overall evaluation process of the project?,Không tìm thấy thông tin.,"Cost Analysis is mentioned in Section 4 of the Blueprint Document, which is part of Phase D and is allocated 2 points. It plays a role in evaluating the project's financial aspects, although specific details about its implementation are not provided in the context.",B,B,B
What is RAGAS in the context of the phases mentioned?,Không tìm thấy thông tin.,"RAGAS is mentioned in Phase A, which is part of a structured evaluation process that includes various tasks and assessments.",B,B,B
What is included in the Self-Assessment Checklist for Phase A in the context of RAG pipelines?,"Self-Assessment Checklist for Phase A in the context of RAG pipelines includes the following item:

- A.1.1 — testset_v1.csv có ≥50 rows. 

Thông tin chi tiết về các mục khác không có sẵn trong context.","The Self-Assessment Checklist for Phase A in the context of RAG pipelines includes tasks related to RAGAS, which is worth 30 points.",A,A,A
Cần chuẩn bị gì trước khi bắt đầu lab về Llama Guard 3 trong hệ thống đánh giá và guardrail?,"Bạn cần các artifacts sau từ các lab trước (đảm bảo chúng chạy được):
- RAG pipeline từ Day 18 — phải chạy được retrieval + generation
- Document corp

Ngoài ra, Llama Guard 3 yêu cầu HF token + license accept — đăng ký trước lab.","Trước khi bắt đầu lab về Llama Guard 3, bạn cần các artifacts từ các lab trước, cụ thể là RAG pipeline từ Day 18, đảm bảo rằng chúng chạy được.",A,A,tie
What skills will a Data Science Trainee learn by 2026 in the lab focused on evaluation and guardrail systems?,Không tìm thấy thông tin.,"By 2026, a Data Science Trainee will learn to implement RAGAS evaluation with four core metrics, build an LLM-as-Judge pipeline with pairwise comparison and bias mitigation, compute Cohen’s kappa and understand agreement scores, deploy input and output guardrails, measure latency overhead, identify bottlenecks of the full stack, and design a blueprint document for production deployment.",B,B,B
Chào mừng đến với Lab 24! Bạn có thể cho tôi biết mục tiêu chính của Lab 24 là gì không?,"Mục tiêu chính của Lab 24 là xây dựng một hệ thống đánh giá và guardrail sẵn sàng cho môi trường sản xuất cho pipeline RAG của người học, như cách các đội ngũ AI hàng đầu đang thực hiện vào năm 2026.","Mục tiêu thật sự của Lab 24 không phải để qua bài, mà để bạn có thể nhìn vào hệ thống AI và tự tin trả lời 3 câu hỏi: 1. 'Hệ thống này có hoạt động tốt không?' (Eval) 2. 'Khi user tấn công, nó có chịu được không?' (Guardrails) 3. 'Khi nó hỏng, ta biết kịp không?' (Monitoring).",B,B,tie
What does AICB stand for in the context of the lab?,Không tìm thấy thông tin.,"AICB stands for Full Evaluation & Guardrail System, which is the title of the lab focused on building a production-ready evaluation and guardrail system for RAG pipelines.",B,B,B
VinUniversiti la gi?,Không tìm thấy thông tin.,"VinUniversity là nơi tổ chức Lab 24 — Eval & Guardrails AICB, nơi mà các học viên có thể học cách xây dựng pipeline đánh giá tự động cho RAG và các kỹ thuật liên quan.",B,B,B
Làm thế nào để kiểm tra RAGAS trước khi bắt đầu lab?,"Để kiểm tra RAGAS trước khi bắt đầu lab, bạn cần chạy lệnh sau trong terminal:

```bash
python -m your_rag_module.test_query ""What is X?""
```

Nếu bất kỳ check nào fail, hãy sửa lỗi trước khi bắt đầu lab, vì nếu không có RAG pipeline, bạn sẽ gặp khó khăn.","Để kiểm tra RAGAS trước khi bắt đầu lab, bạn cần xác minh thiết lập bằng cách chạy một số lệnh. Đầu tiên, kiểm tra phiên bản Python bằng lệnh 'python --version' để đảm bảo nó là 3.10 trở lên. Sau đó, kiểm tra các gói cần thiết đã được cài đặt bằng lệnh 'pip list | grep -E ""ragas|presidio|guardrails|transformers""'. Cuối cùng, xác minh phiên bản RAGAS bằng lệnh 'python -c ""import ragas; print(ragas.__version__)""' để đảm bảo nó là 0.2.0 trở lên và kiểm tra các khóa API đã được thiết lập bằng lệnh 'echo $OPENAI_API_KEY | head -c 10' để hiển thị 10 ký tự đầu tiên.",B,B,B
"How does the lab structure at VinUniversity facilitate the learning process for data science trainees, particularly in the context of RAG pipelines and evaluation metrics?",Không tìm thấy thông tin.,"The lab structure at VinUniversity is designed to facilitate the learning process for data science trainees through a sequential approach that consists of four phases. Each phase builds on the previous one, ensuring that trainees develop a comprehensive understanding of RAG pipelines and evaluation metrics. For instance, Phase A focuses on building an automated evaluation pipeline for RAG, emphasizing the importance of measuring the effectiveness of RAG systems. Additionally, the lab includes practical tasks such as generating a synthetic test set and logging API costs, which are crucial for hands-on experience. The structured phases, along with tips for setup and troubleshooting, help trainees navigate the complexities of the lab effectively.",B,B,B
VinUniversiti có những yêu cầu gì để chạy RAG pipeline?,Không tìm thấy thông tin.,"Để chạy RAG pipeline tại VinUniversity, bạn cần chuẩn bị một document corpus ít nhất 50 trang text/markdown để tạo test set, API keys từ OpenAI hoặc Anthropic cho judge, và HuggingFace cho Llama Guard. Môi trường cần sử dụng Python 3.10 trở lên với các package cần thiết đã được cài đặt. Ngoài ra, bạn cũng cần một tài khoản LangSmith/Langfuse ở mức free tier để log eval runs.",B,B,B
